CHR	原始拆分	替换拆分
的	白勹丶丶丶丶	白勹丶丶丶丶
一	笔一一一一一	笔一一一一一
是	是丨ㄋ一一一	是丨ㄋ一一一
不	不一丿丨丶丶	不一丿丨丶丶
了	了ㄋ丨丨丨丨	了ㄋ丨丨丨丨
在	土一丨一一	土一丨一一
人	人丿丶丶丶丶	人丿丶丶丶丶
有	石月丨ㄋ一一	石月丨ㄋ一一
我	我丿一丨一ㄋ	我丿一丨一ㄋ
他	亻也ㄋ丨ㄋㄋ	亻也ㄋ丨ㄋㄋ
这	文辶丶ㄋ丶丶	文辶丶ㄋ丶丶
个	人笔丨丨丨丨	人笔丨丨丨丨
们	亻门丶丨ㄋㄋ	亻门丶丨ㄋㄋ
中	中丨ㄋ一丨丨	中丨ㄋ一丨丨
来	夹来丨丿丶丶	夹来丨丿丶丶
上	上丨一一一一	上丨一一一一
大	大一丿丶丶丶	大一丿丶丶丶
为	笔力丶丶丶丶	笔力丶丶丶丶
和	禾口丨ㄋ一一	禾口丨ㄋ一一
国	口王丶丶丶丶	口王丶丶丶丶
地	土也ㄋ丨ㄋㄋ	土也ㄋ丨ㄋㄋ
到	至刂丨丨丨丨	至刂丨丨丨丨
以	以ㄋ丶丿丶丶	以ㄋ丶丿丶丶
说	讠𠮦丿ㄋㄋㄋ	讠兑丿ㄋㄋㄋ
时	日寸一丨丶丶	日寸一丨丶丶
要	西女ㄋ丿一一	西女ㄋ丿一一
就	京尢丶丶丶丶	京尢丶丶丶丶
出	山冂ㄋ丨丨丨	山冂ㄋ丨丨丨
会	人云一一ㄋ丶	人云一一ㄋ丶
可	可一丨ㄋ一丨	可一丨ㄋ一丨
也	也ㄋ丨ㄋㄋㄋ	也ㄋ丨ㄋㄋㄋ
你	亻尔丿ㄋ丨丿	亻尔丿ㄋ丨丿
对	双寸一丨丶丶	双寸一丨丶丶
生	生丿一一丨一	生丿一一丨一
能	厶月丿ㄋㄋㄋ	厶月丿ㄋㄋㄋ
而	而一丿丨ㄋ丨	而一丿丨ㄋ丨
子	子ㄋ丨一一一	子ㄋ丨一一一
那	刀耳ㄋ丨丨丨	刀耳ㄋ丨丨丨
得	彳旦一丨丶丶	彳旦一丨丶丶
于	于一一丨丨丨	于一一丨丨丨
着	羊目丨ㄋ一一	羊目丨ㄋ一一
下	下一丨丶丶丶	下一丨丶丶丶
自	自丿丨ㄋ一一	自丿丨ㄋ一一
之	之丶ㄋ丶丶丶	之丶ㄋ丶丶丶
年	㐄一丨一丨	年一丨一丨
过	寸辶丶ㄋ丶丶	寸辶丶ㄋ丶丶
发	发ㄋ丿ㄋ丶丶	发ㄋ丿ㄋ丶丶
后	广鬲一丨ㄋ一	广鬲一丨ㄋ一
作	亻乍丿一丨一	亻乍丿一丨一
里	田丨ㄋ一一丨	田丨ㄋ一一丨
用	甬丿ㄋ一一丨	甬丿ㄋ一一丨
道	䒑自丶ㄋ丶丶	首自丶ㄋ丶丶
行	彳于一一丨丨	彳于一一丨丨
所	广匚丿丿一丨	广匚丿丿一丨
然	歹犬丶丶丶丶	歹犬丶丶丶丶
家	宀豕一丿ㄋ丿	宀豕一丿ㄋ丿
种	禾中丨ㄋ一丨	禾中丨ㄋ一丨
事	鬲聿ㄋ一一丨	鬲聿ㄋ一一丨
成	戊㇉ㄋㄋㄋㄋ	戊Zㄋㄋㄋㄋ
方	方丶一ㄋ丿丿	方丶一ㄋ丿丿
多	歹歹丿ㄋ丶丶	歹歹丿ㄋ丶丶
经	纟轻ㄋ丶一丨	纟轻ㄋ丶一丨
么	笔厶ㄋ丶丶丶	笔厶ㄋ丶丶丶
去	去一丨一ㄋ丶	去一丨一ㄋ丶
法	氵去一丨一ㄋ	氵去一丨一ㄋ
学	子ㄋ丨一一	子ㄋ丨一一
如	女口丨ㄋ一一	女口丨ㄋ一一
都	者耳ㄋ丨丨丨	者耳ㄋ丨丨丨
同	冂鬲一丨ㄋ一	冂鬲一丨ㄋ一
现	王见丿ㄋㄋㄋ	王见丿ㄋㄋㄋ
当	尹ㄋ一一一	尹ㄋ一一一
没	氵殳丿ㄋㄋ丶	氵殳丿ㄋㄋ丶
动	云力ㄋ丿丿丿	云力ㄋ丿丿丿
